Date,Open,High,Low,Close,Volume
03/09/2024,"228,55",229,"224,33","222,77",50190574
04/09/2024,"221,66","221,78","223,89","220,85",43840196
05/09/2024,"221,63","225,48","224,89","222,38",36615398
06/09/2024,"223,95","225,24","225,68","220,82",48423011
09/09/2024,"220,82","221,27","228,88","220,91",67179965
10/09/2024,"218,92","221,48","227,48","220,11",51591033
11/09/2024,"221,46","223,09","221,17","222,66",44587072
12/09/2024,"222,5","223,55","217,48","222,77",37498225
13/09/2024,"223,58","224,04","221,52","222,5",36766619
16/09/2024,"216,54","217,22","219,77","216,32",59357427
17/09/2024,"215,75","216,9","216,71","216,79",45519339
18/09/2024,"217,55","222,71","216,73","220,69",59894928
19/09/2024,"224,99","229,82","217,89","228,87",66781315
20/09/2024,"229,97","233,09","219,82","228,2",318679888
23/09/2024,"227,34","229,45","221,91","226,47",54146023
24/09/2024,"228,65","229,35","213,92","227,37",43556068
25/09/2024,"224,93","227,29","214,5","226,37",42308715
26/09/2024,"227,3","228,5","217,54","227,52",36636707
27/09/2024,"228,46","229,52","224,63","227,79",34025967
30/09/2024,"230,04",233,"227,62",233,54793391
01/10/2024,"229,52","229,65","225,81","226,21",63285048
02/10/2024,"225,89","227,37","225,73","226,78",32880605
03/10/2024,"225,14","226,81","224,02","225,67",34044158
04/10/2024,"227,9",228,"225,41","226,8",37345098
07/10/2024,"224,5","225,69","227,3","221,69",39505354
08/10/2024,"224,3","225,98","229,65","225,77",31855693
09/10/2024,"225,23","229,75","223,74","229,54",33591091
10/10/2024,"227,78","229,5","223,02","229,04",28183544
11/10/2024,"229,3","229,41","223,32","227,55",31759188
14/10/2024,"228,7","231,73","224,13","231,3",39882085
15/10/2024,"233,61","237,49","221,33","233,85",64751367
16/10/2024,"231,6","232,12","223,25","231,78",34082240
17/10/2024,"233,43","233,85","224,83","232,15",32993810
18/10/2024,"236,18","236,18","227,17",235,46431472
21/10/2024,"234,45","236,85","227,34","236,48",36254470
22/10/2024,"233,89","236,22","228,6","235,86",38846578
23/10/2024,"234,08","235,14","232,37","230,76",52286979
24/10/2024,"229,98","230,82","229,84","230,57",31109503
25/10/2024,"229,74","233,22","230,52","231,41",38802304
28/10/2024,"233,32","234,73","234,01","233,4",36087134
29/10/2024,"233,1","234,33","234,45","233,67",35417247
30/10/2024,"232,61","233,47","232,6","230,1",47070907
31/10/2024,"229,34","229,83","227,76","225,91",64370086
01/11/2024,"220,97","225,35","228,41","222,91",65276741
04/11/2024,"220,99","222,79","229,57","222,01",44944468
05/11/2024,"221,8","223,95","232,55","223,45",28111338
06/11/2024,"222,61","226,07","232,32","222,72",54561121
07/11/2024,"224,63","227,88","229,55","227,48",42137691
08/11/2024,"227,17","228,66","225,37","226,96",38328824
11/11/2024,225,"225,7","220,27","224,23",42005602
12/11/2024,"224,55","225,59","219,71","224,23",40398299
13/11/2024,"224,01","226,65","221,14","225,12",48566217
14/11/2024,"225,02","228,87","221,19","228,22",44923941
15/11/2024,"226,4","226,92","224,57",225,47923696
18/11/2024,"225,25","229,74","226,41","228,02",44686020
19/11/2024,"226,98","230,16","221,5","228,28",36211774
20/11/2024,"228,06","229,93","223,36",229,35169566
21/11/2024,"228,88","230,16","222,76","228,52",42108327
22/11/2024,"228,06","230,72",225,"229,87",38168252
25/11/2024,"231,46","233,25","224,27","232,87",90152832
26/11/2024,"233,33","235,57","225,17","235,06",45986189
27/11/2024,"234,47","235,69","226,66","234,93",33498439
29/11/2024,"234,81","237,81","225,89","237,33",28481377
02/12/2024,"237,27","240,79","225,71","239,59",48137103
03/12/2024,"239,81","242,76","228,06","242,65",38861017
04/12/2024,"242,87","244,11","229,74","243,01",44383935
05/12/2024,"243,99","244,54","233,33","243,04",40033878
06/12/2024,"242,91","244,63","233,81","242,84",36870619
09/12/2024,"241,83","247,24","233,97","246,75",44649232
10/12/2024,"246,89","248,21","237,16","247,77",36914806
11/12/2024,"247,96","250,8","238,9","246,49",45205814
12/12/2024,"246,89","248,74","241,25","247,96",32777532
13/12/2024,"247,82","249,29","242,13","248,13",33155290
16/12/2024,"247,99","251,38","242,08","251,04",51694753
17/12/2024,"250,08","253,83","241,75","253,48",51356360
18/12/2024,"252,16","254,28","245,34","248,05",56774101
19/12/2024,"247,5",252,"246,26","249,79",60882264
20/12/2024,"248,04",255,"245,68","254,49",147495267
23/12/2024,"254,77","255,65","246,24","255,27",40858774
24/12/2024,"255,49","258,21","247,65","258,2",23234705
26/12/2024,"258,19","260,1","249,78","259,02",27262983
27/12/2024,"257,83","258,7","247,74","255,59",42355321
30/12/2024,"252,23","253,5","247,09","252,2",35557542
31/12/2024,"252,44","253,28","245,69","250,42",39480718
02/01/2025,"248,93","249,1","253,45","243,85",55740731
03/01/2025,"243,36","244,18","255,29","243,36",40244114
06/01/2025,"244,31","247,33","257,63",245,45045571
07/01/2025,"242,98","245,55","253,06","242,21",40855960
08/01/2025,"241,92","243,71","250,75","242,7",37628940
10/01/2025,"240,01","240,16","249,43","236,85",61710856
13/01/2025,"233,53","234,67","241,82","234,4",49630725
14/01/2025,"234,75","236,12","241,89","233,28",39435294
15/01/2025,"234,64","238,96","243,2","237,87",39831969
16/01/2025,"237,35","238,01","241,35","228,26",71759052
17/01/2025,"232,12","232,29","240,05","229,98",68488301
21/01/2025,224,"224,42",233,"222,64",98070429
22/01/2025,"219,79","224,12","229,72","223,83",64126500
23/01/2025,"224,74","227,03","232,47","223,66",60234760
24/01/2025,"224,78","225,63","234,43","222,78",54697907
27/01/2025,"224,02","232,15","228,03","229,86",94863418
28/01/2025,"230,85","240,19","228,48","238,26",75707569
29/01/2025,"234,12","239,86","219,38","239,36",45486100
30/01/2025,"238,67","240,79","219,79","237,59",55658279
31/01/2025,"247,19","247,19","222,3",236,101075128
03/02/2025,"229,99","231,83","221,41","228,01",73063301
04/02/2025,"227,25","233,13","223,98","232,8",45067301
05/02/2025,"228,53","232,67","230,81","232,47",39664989
06/02/2025,"231,29","233,8","234,01","233,22",29925349
07/02/2025,"232,6",234,"237,21","227,63",39707224
10/02/2025,"229,57","230,59","233,44","227,65",33115645
11/02/2025,"228,2","235,23","225,7","232,62",53718362
12/02/2025,"231,2","236,96","226,65","236,87",45243292
13/02/2025,"236,91","242,34","228,27","241,53",53614054
14/02/2025,"241,25","245,55","230,43","244,6",40896227
18/02/2025,"244,15","245,18","227,26","244,47",48822491
19/02/2025,"244,66","246,01","227,2","244,87",32204215
20/02/2025,"244,94","246,78","228,13","245,83",32316907
21/02/2025,"245,95","248,69","230,68","245,55",53197431
24/02/2025,"244,93","248,86","235,57","247,1",51326396
25/02/2025,248,250,"240,99","247,04",48013272
26/02/2025,"244,33","244,98","241,84","240,36",44433564
27/02/2025,"239,41","242,46","243,16","237,3",41153639
28/02/2025,"236,95","242,09","244,29","241,84",56833360
03/03/2025,"241,79","244,03","245,22","238,03",47183985
04/03/2025,"237,71","240,07","244,42","235,93",53798062
05/03/2025,"235,42","236,55","244,91","235,74",47227643
06/03/2025,"234,44","237,86","239,13","235,33",45170419
07/03/2025,"235,11","241,37","237,06","239,07",46273565
10/03/2025,"235,54","236,16","230,2","227,48",72071197
11/03/2025,"223,81","225,84","236,11","220,84",76137410
12/03/2025,"220,14","221,75","234,68","216,98",62547467
13/03/2025,"215,95","216,84","229,23","209,68",61368330
14/03/2025,"211,25","213,95","233,16","213,49",60107582
17/03/2025,"213,31","215,22","234,76",214,48073426
18/03/2025,"214,16","215,15","224,22","212,69",42432426
19/03/2025,"214,22","218,76","217,45","215,24",54385391
20/03/2025,"213,99","217,49","214,91","214,1",48862947
21/03/2025,"211,56","218,84","208,42","218,27",94127768
24/03/2025,221,"221,48","209,58","220,73",44299483
25/03/2025,"220,77","224,1","209,97","223,75",34493583
26/03/2025,"223,51","225,02","211,49","221,53",34532656
27/03/2025,"221,39","224,99","213,75","223,85",37094774
28/03/2025,"221,67","223,81","212,22","217,9",39818617
31/03/2025,"217,01","225,62","211,28","222,13",65299321
01/04/2025,"219,81","223,68","218,58","223,19",36412740
