Open,High,Low,Close,Volume
"226,4","226,92","224,57",225,47923696
"225,25","229,74","226,41","228,02",44686020
"226,98","230,16","221,5","228,28",36211774
"228,06","229,93","223,36",229,35169566
"228,88","230,16","222,76","228,52",42108327
"228,06","230,72",225,"229,87",38168252
"231,46","233,25","224,27","232,87",90152832
"233,33","235,57","225,17","235,06",45986189
"234,47","235,69","226,66","234,93",33498439
"234,81","237,81","225,89","237,33",28481377
"237,27","240,79","225,71","239,59",48137103
"239,81","242,76","228,06","242,65",38861017
"242,87","244,11","229,74","243,01",44383935
"243,99","244,54","233,33","243,04",40033878
"242,91","244,63","233,81","242,84",36870619
"241,83","247,24","233,97","246,75",44649232
"246,89","248,21","237,16","247,77",36914806
"247,96","250,8","238,9","246,49",45205814
"246,89","248,74","241,25","247,96",32777532
"247,82","249,29","242,13","248,13",33155290
"247,99","251,38","242,08","251,04",51694753
"250,08","253,83","241,75","253,48",51356360
"252,16","254,28","245,34","248,05",56774101
"247,5",252,"246,26","249,79",60882264
"248,04",255,"245,68","254,49",147495267
"254,77","255,65","246,24","255,27",40858774
"255,49","258,21","247,65","258,2",23234705
"258,19","260,1","249,78","259,02",27262983
"257,83","258,7","247,74","255,59",42355321
"252,23","253,5","247,09","252,2",35557542
"252,44","253,28","245,69","250,42",39480718
"248,93","249,1","253,45","243,85",55740731
"243,36","244,18","255,29","243,36",40244114
"244,31","247,33","257,63",245,45045571
"242,98","245,55","253,06","242,21",40855960
"241,92","243,71","250,75","242,7",37628940
"240,01","240,16","249,43","236,85",61710856
"233,53","234,67","241,82","234,4",49630725
"234,75","236,12","241,89","233,28",39435294
"234,64","238,96","243,2","237,87",39831969
"237,35","238,01","241,35","228,26",71759052
"232,12","232,29","240,05","229,98",68488301
224,"224,42",233,"222,64",98070429
"219,79","224,12","229,72","223,83",64126500
"224,74","227,03","232,47","223,66",60234760
"224,78","225,63","234,43","222,78",54697907
"224,02","232,15","228,03","229,86",94863418
"230,85","240,19","228,48","238,26",75707569
"234,12","239,86","219,38","239,36",45486100
"238,67","240,79","219,79","237,59",55658279
"247,19","247,19","222,3",236,101075128
"229,99","231,83","221,41","228,01",73063301
"227,25","233,13","223,98","232,8",45067301
"228,53","232,67","230,81","232,47",39664989
"231,29","233,8","234,01","233,22",29925349
"232,6",234,"237,21","227,63",39707224
"229,57","230,59","233,44","227,65",33115645
"228,2","235,23","225,7","232,62",53718362
"231,2","236,96","226,65","236,87",45243292
"236,91","242,34","228,27","241,53",53614054
"241,25","245,55","230,43","244,6",40896227
"244,15","245,18","227,26","244,47",48822491
"244,66","246,01","227,2","244,87",32204215
"244,94","246,78","228,13","245,83",32316907
"245,95","248,69","230,68","245,55",53197431
"244,93","248,86","235,57","247,1",51326396
248,250,"240,99","247,04",48013272
"244,33","244,98","241,84","240,36",44433564
"239,41","242,46","243,16","237,3",41153639
"236,95","242,09","244,29","241,84",56833360
"241,79","244,03","245,22","238,03",47183985
"237,71","240,07","244,42","235,93",53798062
"235,42","236,55","244,91","235,74",47227643
"234,44","237,86","239,13","235,33",45170419
"235,11","241,37","237,06","239,07",46273565
"235,54","236,16","230,2","227,48",72071197
"223,81","225,84","236,11","220,84",76137410
"220,14","221,75","234,68","216,98",62547467
"215,95","216,84","229,23","209,68",61368330
"211,25","213,95","233,16","213,49",60107582
"213,31","215,22","234,76",214,48073426
"214,16","215,15","224,22","212,69",42432426
"214,22","218,76","217,45","215,24",54385391
"213,99","217,49","214,91","214,1",48862947
"211,56","218,84","208,42","218,27",94127768
221,"221,48","209,58","220,73",44299483
"220,77","224,1","209,97","223,75",34493583
"223,51","225,02","211,49","221,53",34532656
"221,39","224,99","213,75","223,85",37094774
"221,67","223,81","212,22","217,9",39818617
"217,01","225,62","211,28","222,13",65299321
"219,81","223,68","218,58","223,19",36412740
"221,32","225,19","220,08","223,89",35905904
"205,54","207,49","220,47","203,19",103419006
"193,89","199,88","220,56","188,38",125910913
"177,2","194,15","217,68","181,46",160466286
"186,7","190,34","216,23","172,42",120859491
"171,95","200,61","218,9","198,85",184395885
"189,07","194,78","221,02","190,42",121879981
"186,1","199,54","201,25","198,15",87435915
"211,44","212,94","187,34","202,52",101352911
"201,86","203,51","174,62","202,14",51343872
"198,36","200,7","169,21","194,27",59732423
"197,2","198,83","171,89","196,98",52164675
"193,27","193,8",183,"193,16",46742537
"196,12","201,59","186,06","199,74",52976371
206,208,"201,16","204,6",52929165
"204,89","208,83","199,8","208,37",47310989
"206,37","209,75","192,37","209,28",38222258
210,"211,5","194,42","210,14",38743074
"208,69","212,24","189,81","211,21",36827633
"209,3","213,58","195,97","212,5",52286454
"209,08","214,56","202,8","213,32",57365675
"206,09","206,99","202,94","205,35",101010621
"203,1","204,1","206,2","198,89",69018452
"198,21","200,65","207,46","198,51",51216482
"199,17","199,44","208,37","196,25",68616943
"197,72","200,05","206,67","197,49",50478872
199,"200,54","208,9","198,53",36453923
"210,97","211,27","202,16","210,79",63775814
"210,43","213,4","198,21","212,93",51909332
"212,43","213,94","197,02","212,33",49325825
"210,95","212,96","193,25","211,45",45029473
"212,36","212,57","194,68","211,26",54737850
"207,91","209,48","197,54","208,78",46140527
"207,67","208,47","206,75","206,86",42496635
"205,17","207,04",209,"202,09",59211774
"205,17","207,04","210,58","202,09",1536434
"193,67","197,7","209,54","195,27",78432918
"198,3","200,74","209,77","200,21",56288475
"200,59","202,73","204,26","200,42",45339678
"203,58","203,81","205,03","199,95",51477938
"199,37","201,96","200,71","200,85",70819942
"200,28","202,13","200,71","201,7",35423294
"201,35","203,77","193,46","203,27",46381567
"202,91","206,24","197,43","202,82",43603985
"203,5","204,75","199,9","200,63",55221235
203,"205,7","198,51","203,92",46607693
"204,39",206,"196,78","201,45",72862557
"200,6","204,35","200,12","202,67",54672608
"203,5","204,5","200,96","198,78",60989857
"199,08","199,68","202,1","199,2",43904635
"199,73","200,37","200,15","196,45",51447349
"197,3","198,69","202,05","198,42",43020691
"197,2","198,39","200,02","195,64",38084269
